Bartosz Slisz;56:32;7334,19;7,06;1820,43;3297,45;1695,28;443,64;70,33;36;27,69;7,78;2894,24;127,82;8,24;12;3084,72;302,66;62,09;27;1355,38;13,17;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/bartosz-slisz/profil/spieler/382429
Jakub Kisiel (M);95:41;11308,1;40,7;3335,08;5498,4;1805,0;546,52;82,4;48;29,55;7,09;4373,57;80,5;20,61;14;4609,24;457,01;61,79;39;2325,36;9,02;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/jakub-kisiel/profil/spieler/672232
Josue Pesqueira;95:41;10750,39;8,25;3879,56;4290,34;1933,6;604,72;33,92;48;28,25;6,74;4212,86;257,67;33,92;27;4003,67;341,46;0,0;23;2533,92;5,58;0,0;1;Legia Warszawa;nie udało się znaleźć linku
Rafael Lopes;95:41;11325,94;40,11;3574,71;4851,0;1885,85;879,96;94,31;64;31,31;7,1;4511,17;502,5;70,76;44;4300,07;373,2;23,55;30;2514,6;4,24;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/rafa-lopes/profil/spieler/162819
Ernest Muci;80:13;9453,39;34,89;3192,79;3922,12;1486,68;699,8;117,11;57;31,61;7,07;3804,14;401,73;98,6;38;3336,27;285,82;18,51;25;2313,0;12,26;0,0;2;Legia Warszawa;https://www.transfermarkt.pl/ernest-muci/profil/spieler/583917
Maciej Rosołek (M);80:38;9566,76;81,75;3053,61;4266,24;1280,94;658,61;225,61;62;31,19;7,12;3863,82;306,56;189,21;39;3324,01;300,64;36,4;25;2378,75;51,41;0,0;5;Legia Warszawa;https://www.transfermarkt.pl/maciej-rosolek/profil/spieler/401609
Artur Jędrzejczyk;19:11;1980,1;17,46;712,14;819,94;292,96;129,22;8,38;11;27,66;6,19;856,16;73,9;0,0;6;683,1;54,22;8,38;7;440,87;0,0;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/artur-jedrzejczyk/profil/spieler/42401
Luquinhas;15:28;1609,47;42,28;596,66;495,77;286,89;151,17;36,7;15;32,12;6,25;638,66;100,44;36,7;11;580,15;42,67;0,0;5;390,73;8,07;0,0;2;Legia Warszawa;https://www.transfermarkt.pl/luquinhas/profil/spieler/402825
Josip Juranović;39:09;4025,26;8,55;1359,1;1585,71;611,35;322,27;138,28;33;31,96;6,17;1620,52;144,12;106,55;18;1487,79;172,64;31,73;17;916,94;6,7;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/josip-juranovic/profil/spieler/362977
Tomas Pekhart;15:03;1804,69;34,73;628,97;517,84;334,25;180,67;108,23;21;28,8;7,19;723,4;92,82;50,34;12;649,31;83,4;57,89;10;431,97;4,44;0,0;1;Legia Warszawa;https://www.transfermarkt.pl/tomas-pekhart/profil/spieler/38746
